Class;PredefinedType;Name;BuildingStorey;Material;PSET_RÔGGA.RÔGGA_SEÇÃO;PSET_RÔGGA.RÔGGA_DESCRIÇÃO;Width;Thickness;Length;Height;FileName;GlobalId;Ô_CLS_CLASSIFICAÇÃO_SOLIBRI
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746561;09. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF41;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746566;09. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF46;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746580;10. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF4K;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746585;10. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF4P;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746590;10. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF4U;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746595;10. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF4Z;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746609;34. TPA;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF4n;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746614;34. TPA;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF4s;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746619;34. TPA;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF4x;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746624;34. TPA;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF50;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746638;35. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF5E;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746643;35. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF5J;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746648;35. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF5O;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746653;35. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF5T;Bombas de recalque, de drenagem pluvial
